population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,year
13,46153.848,.375,22.460873,.625,59.89566,48.665222,116.04784,1.9374999,.0005989566,1.3445030e-07,.46153846,104,1,1,2006
1,0,0,0,1,37.434788,37.434788,67.382614,1.8,.00037434787,0,0,105,1,1,2006
2,50000,.40000001,14.973915,.60000002,37.434788,29.94783,29.94783,.80000001,.00037434787,5.6033549e-08,.5,106,1,1,2006
1,0,1,22.460873,0,22.460873,,,,.00022460872,5.0437748e-08,,108,1,1,2006
11344,828.6319,.0082785403,822.54993,.99172145,100000,99266.023,1738931.8,17.389317,1,0,.0082331793,65,1,2,2006
10889,1579.5757,.015689192,1556.0142,.98431081,99177.453,98290.523,1639665.8,16.532646,.99177456,.00012693625,.015795756,66,1,2,2006
10980,1593.8069,.015824573,1544.8176,.98417544,97621.438,96771.789,1541375.3,15.789311,.97621435,.000358705,.01593807,67,1,2,2006
10097,1782.7078,.01767895,1698.5337,.98232102,96076.617,95176.391,1444603.4,15.035952,.9607662,.000640254,.017827077,68,1,2,2006
9632,1858.3887,.018412797,1737.7645,.98158723,94378.086,93509.203,1349427,14.298097,.94378084,.00092203292,.018583888,69,1,2,2006
9000,2377.7778,.023498408,2176.9001,.97650158,92640.32,91551.867,1255917.9,13.556925,.92640322,.0014842169,.023777779,70,1,2,2006
8432,2561.6699,.025292741,2288.0679,.97470725,90463.422,89319.391,1164366,12.871125,.90463424,.0019739422,.0256167,71,1,2,2006
8128,2805.1182,.02766319,2439.2114,.97233683,88175.352,86955.742,1075046.5,12.192143,.8817535,.0025432259,.028051181,72,1,2,2006
7588,3004.7444,.029602701,2538.0212,.97039729,85736.141,84467.133,988090.81,11.524788,.85736144,.0031038176,.030047443,73,1,2,2006
7740,3578.8113,.035158977,2925.1606,.96484101,83198.117,81735.539,903623.69,10.861108,.83198118,.0040890384,.035788111,74,1,2,2006
7256,3941.5657,.038653873,3102.8606,.96134615,80272.953,78721.523,821888.13,10.238668,.80272955,.0049135294,.039415658,75,1,2,2006
7161,4538.4722,.044377688,3424.6304,.95562232,77170.094,75457.781,743166.63,9.6302414,.77170092,.0060334662,.045384724,76,1,2,2006
6738,4645.2954,.045398507,3347.9338,.95460147,73745.461,72071.492,667708.81,9.0542364,.73745459,.0064821127,.046452954,77,1,2,2006
6495,5404.1572,.052619744,3704.2996,.94738024,70397.523,68545.375,595637.38,8.4610558,.70397526,.0077195419,.054041568,78,1,2,2006
6046,6152.8281,.05969191,3981.0461,.94030809,66693.227,64702.703,527092,7.9032311,.66693228,.0088432413,.06152828,79,1,2,2006
5809,6989.1548,.067531601,4235.0537,.93246841,62712.18,60594.652,462389.28,7.3731976,.62712181,.0099032521,.069891542,80,1,2,2006
5529,8066.5581,.077538244,4534.2134,.92246175,58477.125,56210.02,401794.63,6.8709707,.58477128,.011009698,.080665573,81,1,2,2006
5038,8713.7754,.083499759,4504.2202,.91650021,53942.91,51690.801,345584.59,6.4064879,.53942913,.011190525,.087137751,82,1,2,2006
4854,10177.174,.096843757,4787.8286,.90315622,49438.691,47044.777,293893.81,5.9446115,.49438691,.011968063,.10177173,83,1,2,2006
4136,12161.509,.11464387,5118.9478,.88535613,44650.863,42091.391,246849.02,5.5284266,.44650865,.012650901,.12161508,84,1,2,2006
3976,12650.905,.11898285,4703.6196,.88101715,39531.914,37180.105,204757.63,5.1795526,.39531913,.011243623,.12650906,85,1,2,2006
3627,13757.927,.12872437,4483.25,.87127566,34828.293,32586.668,167577.53,4.8115344,.34828293,.010176168,.13757928,86,1,2,2006
2592,14236.111,.13290113,4032.8906,.86709887,30345.043,28328.598,134990.86,4.4485307,.30345044,.0085242512,.1423611,87,1,2,2006
2051,18186.25,.16670391,4386.3389,.83329606,26312.152,24118.982,106662.26,4.0537262,.26312152,.0085046096,.18186252,88,1,2,2006
1755,17264.957,.15892997,3484.6687,.84107006,21925.813,20183.479,82543.273,3.764662,.21925813,.0059651956,.17264956,89,1,2,2006
1349,21645.664,.19531773,3601.8826,.80468225,18441.145,16640.203,62359.797,3.3815579,.18441145,.0054173707,.21645665,90,1,2,2006
1020,25490.195,.22608694,3354.9634,.77391303,14839.262,13161.78,45719.594,3.0809884,.14839262,.0042397426,.25490195,91,1,2,2006
801,31585.518,.27277628,3132.6443,.72722375,11484.299,9917.9766,32557.814,2.834985,.11484299,.0031844606,.31585518,92,1,2,2006
579,32469.775,.2793462,2333.0029,.72065377,8351.6543,7185.1528,22639.838,2.7108207,.083516546,.0017857162,.32469773,93,1,2,2006
412,30582.523,.26526314,1596.5264,.73473686,6018.6514,5220.3882,15454.685,2.5677986,.060186513,.00090306072,.30582523,94,1,2,2006
264,32575.758,.2801303,1238.7712,.71986973,4422.125,3802.7393,10234.297,2.3143392,.044221248,.00052357564,.32575759,95,1,2,2006
177,53672.316,.42316258,1347.0762,.57683742,3183.3538,2509.8157,6431.5571,2.0203714,.031833537,.00041517106,.53672314,96,1,2,2006
151,47682.121,.38502675,707.01599,.61497325,1836.2776,1482.7695,3921.7415,2.1357019,.018362775,.00012744375,.47682121,97,1,2,2006
94,40425.531,.33628318,379.75168,.66371679,1129.2616,939.38574,2438.9719,2.1597936,.011292616,.000042399628,.4042553,98,1,2,2006
46,34782.609,.2962963,222.07701,.7037037,749.50989,638.47137,1499.5862,2.0007558,.0074950987,.000016520136,.34782609,99,1,2,2006
25,52000,.41269842,217.6707,.58730161,527.43286,418.5975,861.11487,1.632653,.0052743284,.000011420115,.51999998,100,1,2,2006
10,80000,.5714286,177.00694,.4285714,309.76215,221.25867,442.51733,1.4285713,.0030976215,5.4660209e-06,.80000001,101,1,2,2006
3,0,0,0,1,132.7552,132.7552,221.25867,1.6666666,.001327552,0,0,102,1,2,2006
1,100000,.66666669,88.503471,.33333331,132.7552,88.503464,88.503464,.66666663,.001327552,1.1733698e-06,1,103,1,2,2006
3,0,1,44.251732,0,44.251732,,,,.00044251731,1.9573491e-07,,104,1,2,2006
