population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_education,year
15334,2067.3015,.020461515,1909.8292,.9795385,93337.625,92382.711,1325827.1,14.204638,.93337625,.0011876278,.020673016,70,1,2,2006
14005,2156.3728,.021333711,1950.4943,.97866631,91427.797,90452.547,1233444.4,13.490912,.91427797,.0015286757,.021563729,71,1,2,2006
12791,2572.1211,.02539462,2272.2422,.97460538,89477.305,88341.188,1142991.9,12.774098,.89477307,.0021394121,.025721211,72,1,2,2006
11803,2762.0098,.027243858,2375.8022,.97275615,87205.063,86017.164,1054650.8,12.093917,.87205064,.0026508805,.027620096,73,1,2,2006
11623,3217.7578,.031668078,2686.3796,.96833193,84829.258,83486.07,968633.5,11.418625,.84829259,.003457163,.032177579,74,1,2,2006
11009,3442.6379,.033843819,2780.0286,.96615618,82142.875,80752.859,885147.44,10.775705,.82142878,.0040778443,.03442638,75,1,2,2006
10517,3784.3491,.037140723,2947.5935,.96285927,79362.844,77889.047,804394.63,10.135657,.79362845,.0048276372,.037843492,76,1,2,2006
9620,4553.0146,.04451672,3401.7563,.95548326,76415.25,74714.375,726505.56,9.5073376,.76415253,.0061307624,.045530148,77,1,2,2006
9287,4662.4312,.045562159,3326.6523,.95443785,73013.492,71350.164,651791.19,8.9269962,.7301349,.0065547666,.04662431,78,1,2,2006
8522,5503.4028,.053560212,3732.4421,.9464398,69686.844,67820.625,580441,8.329277,.69686842,.0078845164,.05503403,79,1,2,2006
8202,6425.2622,.062252674,4105.8379,.9377473,65954.398,63901.48,512620.38,7.7723455,.65954399,.0092194825,.06425263,80,1,2,2006
7838,7323.2969,.070646152,4369.3628,.92935383,61848.563,59663.883,448718.91,7.2551227,.61848563,.01031,.073232964,81,1,2,2006
7106,7641.4297,.07360217,4230.5938,.9263978,57479.199,55363.902,389055.03,6.7686229,.57479197,.010339831,.076414302,82,1,2,2006
6663,8314.5732,.079827093,4250.6812,.92017293,53248.605,51123.266,333691.13,6.266664,.53248608,.010581844,.08314573,83,1,2,2006
5636,11249.113,.10650093,5218.3247,.89349908,48997.926,46388.762,282567.84,5.7669349,.48997927,.013040572,.11249114,84,1,2,2006
5324,12208.865,.11506461,5037.4829,.88493538,43779.602,41260.859,236179.09,5.3947291,.43779603,.012398791,.12208866,85,1,2,2006
4858,11486.208,.10862371,4208.3125,.89137632,38742.117,36637.961,194918.23,5.0311713,.38742116,.0099874195,.11486208,86,1,2,2006
3299,13397.999,.12556818,4336.3472,.87443185,34533.805,32365.631,158280.28,4.5833435,.34533805,.0098035997,.13397999,87,1,2,2006
2660,16766.918,.15469997,4671.5454,.84530002,30197.457,27861.684,125914.64,4.1697102,.30197456,.0098469602,.16766916,88,1,2,2006
2099,18818.484,.17200087,4390.479,.82799911,25525.912,23330.672,98052.961,3.8413107,.25525913,.0083463844,.18818484,89,1,2,2006
1571,18777.848,.17166133,3628.1367,.82833868,21135.434,19321.365,74722.289,3.5354037,.21135433,.0060475115,.18777849,90,1,2,2006
1196,23076.924,.20689656,3622.1995,.79310346,17507.297,15696.197,55400.922,3.1644475,.17507297,.0052312682,.23076923,91,1,2,2006
936,26816.24,.23645785,3283.2405,.76354218,13885.098,12243.478,39704.727,2.8595209,.13885097,.0039258157,.26816243,92,1,2,2006
