population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,year
26,42307.691,.34920633,134.80623,.65079367,386.03604,318.63293,719.98792,1.8650795,.0038603605,5.1839170e-06,.4230769,103,2,2,2006
17,41176.469,.34146342,85.785789,.65853655,251.22981,208.33691,401.35495,1.597561,.0025122981,2.1497801e-06,.41176471,104,2,2,2006
9,66666.664,.5,82.722015,.5,165.44403,124.08302,193.01804,1.1666666,.0016544403,1.3663221e-06,.66666669,105,2,2,2006
3,100000,.66666669,55.14801,.33333331,82.722015,55.14801,68.935013,.83333331,.00082722015,4.5581808e-07,1,106,2,2,2006
1,200000,1,27.574005,0,27.574005,13.787003,13.787003,.5,.00027574005,7.6011609e-08,2,107,2,2,2006
3,0,0,0,1,0,0,0,,0,0,,108,2,2,2006
1,0,1,0,0,0,,,,0,0,,111,2,2,2006
11861,320.37772,.0032026137,319.46802,.99679738,100000,99716.055,2120059,21.20059,1,0,.0031958378,65,2,3,2006
11212,722.44025,.0072020292,717.9021,.99279797,99680.531,99271.328,2020343,20.268181,.99680531,.000022861475,.0072244024,66,2,3,2006
10844,691.62671,.0068948083,682.32837,.99310517,98962.633,98587.352,1921071.6,19.41209,.98962635,.000070048103,.0069162669,67,2,3,2006
10822,785.43707,.0078254826,769.09082,.99217451,98280.305,97872.688,1822484.3,18.543737,.98280305,.00012998571,.0078543704,68,2,3,2006
10187,971.82684,.0096712746,943.05768,.99032873,97511.211,97039.68,1724611.6,17.686291,.97511208,.00022886605,.0097182682,69,2,3,2006
9938,1086.7378,.010808647,1043.7711,.98919135,96568.156,96046.273,1627571.9,16.854126,.96568155,.00034591294,.010867378,70,2,3,2006
9375,1173.3334,.0116649,1114.2823,.98833507,95524.383,94967.242,1531525.6,16.032824,.95524383,.0004763898,.011733334,71,2,3,2006
9094,1242.5775,.012349051,1165.8752,.98765093,94410.102,93827.164,1436558.4,15.216151,.94410104,.00061528216,.012425775,72,2,3,2006
8834,1720.6249,.017059484,1590.6985,.9829405,93244.227,92448.875,1342731.3,14.400154,.93244225,.0010020398,.01720625,73,2,3,2006
9024,2105.4963,.020835618,1909.658,.97916436,91653.531,90698.703,1250282.4,13.641398,.91653532,.0014608564,.021054965,74,2,3,2006
9106,1877.8827,.018604144,1669.608,.98139584,89743.875,88909.07,1159583.6,12.921034,.89743876,.0015367478,.018778827,75,2,3,2006
9024,2282.8015,.022570396,1987.8711,.97742963,88074.266,87080.328,1070674.6,12.156498,.88074267,.0020879607,.022828015,76,2,3,2006
8604,2475.5928,.024453247,2105.0918,.97554678,86086.391,85033.844,983594.25,11.425665,.86086392,.0025214206,.024755929,77,2,3,2006
8677,2858.1306,.028178615,2366.4766,.97182137,83981.297,82798.063,898560.38,10.69953,.83981299,.0031835532,.028581304,78,2,3,2006
8381,3269.2996,.032167174,2625.3181,.9678328,81614.82,80302.164,815762.31,9.9952717,.81614822,.003939298,.032692995,79,2,3,2006
8112,3624.2603,.035597529,2811.8311,.9644025,78989.5,77583.586,735460.19,9.3108597,.789895,.0046665398,.036242604,80,2,3,2006
7931,4917.4126,.047994092,3656.0781,.95200592,76177.672,74349.633,657876.56,8.6360817,.76177675,.0066347928,.049174126,81,2,3,2006
7741,4715.1533,.046065502,3340.7437,.95393449,72521.594,70851.219,583526.94,8.0462513,.72521591,.0066573601,.047151532,82,2,3,2006
7265,5918.7886,.057486631,3976.9741,.94251335,69180.852,67192.367,512675.75,7.4106598,.69180852,.008479286,.059187889,83,2,3,2006
6856,8415.9863,.080761425,5265.958,.91923857,65203.879,62570.898,445483.38,6.8321605,.65203881,.011947627,.084159859,84,2,3,2006
6874,8001.1636,.076933838,4611.2544,.92306614,59937.922,57632.293,382912.47,6.388484,.59937924,.011072719,.080011636,85,2,3,2006
6476,8400.2471,.080616482,4460.2412,.91938353,55326.668,53096.547,325280.19,5.8792658,.5532667,.011024051,.084002472,86,2,3,2006
4889,10145.224,.096554406,4911.3774,.9034456,50866.426,48410.738,272183.63,5.3509483,.50866425,.012274757,.10145223,87,2,3,2006
4152,13752.408,.12867606,5913.3145,.87132394,45955.047,42998.391,223772.89,4.8693867,.45955047,.014686534,.1375241,88,2,3,2006
3745,14793.058,.13774242,5515.4453,.8622576,40041.734,37284.012,180774.5,4.5146523,.40041736,.013241664,.14793058,89,2,3,2006
3101,16543.051,.15279226,5275.3496,.84720773,34526.289,31888.613,143490.5,4.1559782,.34526289,.011925267,.1654305,90,2,3,2006
2562,19633.1,.17878088,5229.5088,.82121909,29250.939,26636.186,111601.88,3.8153265,.29250941,.010822346,.19633099,91,2,3,2006
2092,21797.322,.19655171,4721.4531,.80344832,24021.43,21660.703,84965.695,3.5370791,.2402143,.0086171897,.21797322,92,2,3,2006
1699,24661.566,.21954416,4237.1973,.78045583,19299.977,17181.379,63304.992,3.2800553,.19299977,.0065994705,.24661568,93,2,3,2006
1303,27475.057,.24156545,3638.647,.75843453,15062.779,13243.456,46123.613,3.0620918,.15062779,.0046552508,.27475056,94,2,3,2006
988,27226.721,.23964365,2737.7209,.76035637,11424.133,10055.272,32880.156,2.8781314,.11424133,.0027703068,.27226722,95,2,3,2006
659,33383.914,.28608581,2485.0593,.71391416,8686.4121,7443.8823,22824.885,2.6276538,.086864121,.0019711179,.33383915,96,2,3,2006
508,34448.82,.29387072,1822.3959,.70612931,6201.3525,5290.1548,15381.002,2.4802656,.062013526,.0010600485,.3444882,97,2,3,2006
343,33236.152,.285,1248.0026,.71500003,4378.9565,3754.9553,10090.847,2.3043952,.043789566,.00052256417,.33236149,98,2,3,2006
210,38095.238,.31999999,1001.9053,.68000001,3130.9541,2630.0015,6335.8916,2.0236297,.031309541,.00030387042,.38095236,99,2,3,2006
117,53846.152,.42424241,903.23279,.57575762,2129.0488,1677.4324,3705.8901,1.7406318,.021290489,.00018820846,.53846151,100,2,3,2006
77,49350.648,.39583331,485.21881,.60416669,1225.816,983.20667,2028.4576,1.6547815,.012258161,.000058749803,.49350643,101,2,3,2006
41,58536.586,.4528302,335.36478,.5471698,740.59723,572.91486,1045.251,1.4113623,.0074059721,.00002465308,.58536583,102,2,3,2006
25,76000,.55072463,223.17149,.44927537,405.23245,293.6467,472.33615,1.1655931,.0040523247,9.0069861e-06,.75999999,103,2,3,2006
10,70000,.51851851,94.401978,.48148149,182.06096,134.85997,178.68945,.98148143,.0018206096,1.7155623e-06,.69999999,104,2,3,2006
3,200000,1,87.658981,0,87.658981,43.829491,43.829491,.5,.00087658979,7.6773608e-07,2,105,2,3,2006
8,12500,.11764706,0,.88235295,0,0,0,,0,0,,106,2,3,2006
1,0,0,0,1,0,0,0,,0,0,,107,2,3,2006
1,0,1,0,0,0,,,,0,0,,111,2,3,2006
12101,239.64961,.002395845,239.14056,.99760413,100000,99787.586,2207697.5,22.076975,1,0,.0023920543,65,2,4,2006
11126,467.37372,.0046643633,465.32089,.99533564,99760.859,99495.625,2107910,21.129629,.9976086,.000011101064,.0046737371,66,2,4,2006
11123,647.30737,.0064542731,640.88055,.99354571,99295.539,98943.055,2008414.4,20.226633,.99295539,.000044829507,.0064730737,67,2,4,2006
