population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,level_education,year
614,18892.508,.17261904,4611.7397,.82738096,26716.287,24410.418,99675.469,3.7308877,.26716286,.0090291807,.18892507,89,1,3,2,2006
424,21933.963,.19766207,4369.2305,.80233794,22104.547,19919.932,75265.055,3.404958,.22104546,.0075231316,.21933964,90,1,3,2,2006
382,18324.607,.16786571,2977.1514,.83213431,17735.316,16246.74,55345.121,3.1206164,.17735316,.0043436345,.18324608,91,1,3,2,2006
295,22711.865,.20395739,3010.0369,.79604262,14758.165,13253.146,39098.383,2.6492712,.14758165,.0037866659,.22711866,92,1,3,2,2006
229,19650.654,.17892644,2102.0508,.82107353,11748.128,10697.103,25845.234,2.199945,.11748128,.002179394,.19650656,93,1,3,2,2006
133,27067.67,.23841061,2299.7271,.76158941,9646.0771,8496.2139,15148.133,1.5703931,.096460775,.0020043524,.2706767,94,1,3,2,2006
91,20879.121,.18905473,1388.8622,.81094527,7346.3501,6651.9189,6651.9189,.90547264,.0734635,.00094535144,.20879121,95,1,3,2,2006
0,,,,,5957.4878,,0,,.05957488,,,96,1,3,2,2006
1,0,1,,0,,,,,,,,98,1,3,2,2006
2058,485.90866,.0048564104,483.81647,.99514359,100000,99569.43,1910500,19.105,1,0,.0048408206,65,1,3,3,2006
1930,777.20209,.0077461335,770.8656,.99225384,99516.18,99076.789,1810930.5,18.197348,.99516177,.000037115788,.0077720205,66,1,3,3,2006
1949,615.70038,.0061399918,606.29541,.99386001,98745.313,98411.852,1711853.8,17.33605,.9874531,.000075116797,.0061570038,67,1,3,3,2006
1778,1181.1024,.011745821,1152.7233,.98825419,98139.016,97528.07,1613441.9,16.440371,.98139018,.00021052758,.011811024,68,1,3,3,2006
1650,1272.7273,.012646793,1226.5656,.98735321,96986.289,96373.008,1515913.9,15.630187,.96986288,.00035851132,.012727273,69,1,3,3,2006
1546,1358.3441,.013491808,1291.9719,.98650819,95759.727,95113.742,1419540.9,14.823986,.95759726,.00052460196,.013583441,70,1,3,3,2006
1338,1494.7683,.014836796,1401.5989,.98516321,94467.758,93766.961,1324427.1,14.019885,.94467759,.00073250133,.014947684,71,1,3,3,2006
1219,1886.7925,.018691588,1739.5543,.9813084,93066.156,92196.383,1230660.1,13.223498,.93066156,.0011225452,.018867925,72,1,3,3,2006
1241,2497.9856,.024671707,2253.1831,.97532827,91326.602,90200.008,1138463.8,12.465851,.913266,.0017847737,.024979854,73,1,3,3,2006
1257,2863.9619,.028235296,2515.0144,.97176468,89073.422,87815.914,1048263.8,11.768536,.8907342,.0024477828,.02863962,74,1,3,3,2006
1181,2540.2202,.025083613,2171.1975,.9749164,86558.406,85472.805,960447.81,11.095951,.86558408,.002526151,.025402201,75,1,3,3,2006
1048,3148.855,.031000471,2616.0432,.96899951,84387.211,83079.188,874975,10.368573,.84387213,.0034466884,.031488549,76,1,3,3,2006
981,3771.6616,.037018511,3027.0469,.96298146,81771.164,80257.641,791895.81,9.6842918,.81771165,.0045120949,.03771662,77,1,3,3,2006
888,6306.3062,.06113537,4814.0508,.93886465,78744.117,76337.094,711638.19,9.0373507,.78744119,.0080576409,.063063063,78,1,3,3,2006
812,4556.6504,.044551477,3293.6934,.95544851,73930.063,72283.219,635301.13,8.5932722,.73930061,.006348107,.045566503,79,1,3,3,2006
754,5172.4136,.050420165,3561.4973,.94957983,70636.367,68855.617,563017.88,7.9706516,.70636368,.0073870453,.051724136,80,1,3,3,2006
760,6447.3687,.062460169,4189.5073,.93753982,67074.867,64980.113,494162.25,7.3673234,.67074865,.0092523135,.064473681,81,1,3,3,2006
638,6583.0723,.06373293,4007.8682,.93626708,62885.359,60881.426,429182.16,6.8248343,.62885362,.0093542347,.065830722,82,1,3,3,2006
553,8318.2637,.079861104,4702.0215,.9201389,58877.492,56526.48,368300.72,6.255374,.58877492,.011384488,.083182633,83,1,3,3,2006
442,10180.995,.096878357,5248.4302,.90312165,54175.469,51551.254,311774.25,5.7548971,.54175466,.013029572,.10180994,84,1,3,3,2006
