population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,level_education,year
3611,1190.8059,.011892,1178.2507,.98810798,100000,98945.656,1532201,15.32201,1,0,.011798271,65,1,1,1,2006
3547,3467.7192,.034167711,3376.5129,.96583229,98821.75,96897.141,1433255.4,14.503441,.98821747,.00039315099,.034677193,66,1,1,1,2006
4002,2648.6758,.02617478,2498.2581,.97382522,95445.234,94071.195,1336358.3,14.001309,.95445234,.0010860695,.026486758,67,1,1,1,2006
3681,3069.8179,.030261561,2812.7207,.96973842,92946.977,91456.234,1242287,13.365545,.92946976,.0018438993,.03069818,68,1,1,1,2006
3603,3608.1042,.035441656,3194.5073,.96455836,90134.258,88537.008,1150830.8,12.767962,.90134257,.0028406882,.036081042,69,1,1,1,2006
3446,3946.6047,.038702331,3364.771,.96129769,86939.75,85257.367,1062293.8,12.218735,.86939752,.0038205453,.039466046,70,1,1,1,2006
3507,4248.6455,.041602679,3476.9429,.95839733,83574.977,81836.508,977036.44,11.690538,.83574975,.0047728727,.042486455,71,1,1,1,2006
3417,4272.7539,.041833811,3350.8059,.95816618,80098.031,78422.625,895199.94,11.176304,.80098033,.005341548,.042727537,72,1,1,1,2006
3318,4520.7959,.044208668,3392.8926,.95579135,76747.227,75050.781,816777.31,10.642434,.76747227,.0060549085,.045207959,73,1,1,1,2006
3444,5574.9131,.054237291,3978.5405,.94576269,73354.336,71365.063,741726.5,10.111556,.73354334,.0077763558,.055749133,74,1,1,1,2006
3320,5150.6025,.050212894,3483.5596,.94978708,69375.797,67634.016,670361.44,9.6627569,.69375795,.0074010957,.051506028,75,1,1,1,2006
3354,5843.7686,.056778677,3741.2739,.94322133,65892.234,64021.598,602727.44,9.1471691,.65892231,.0084082773,.058437686,76,1,1,1,2006
3232,5940.5942,.057692308,3585.6323,.94230771,62150.961,60358.145,538705.81,8.6676989,.62150961,.0084346775,.059405942,77,1,1,1,2006
3247,6251.9248,.06062416,3550.4739,.93937582,58565.328,56790.09,478347.69,8.1677628,.58565331,.0086157052,.062519252,78,1,1,1,2006
2943,8664.6279,.083048366,4568.894,.91695166,55014.855,52730.41,421557.59,7.6626139,.55014855,.011307333,.086646289,79,1,1,1,2006
2941,7718.4629,.074316584,3748.9714,.92568344,50445.961,48571.477,368827.19,7.3113322,.50445962,.009371683,.077184632,80,1,1,1,2006
2673,8641.9756,.082840241,3868.3899,.91715974,46696.988,44762.793,320255.72,6.8581667,.46696988,.0096287709,.086419761,81,1,1,1,2006
2597,9164.4209,.087628871,3753.0217,.91237116,42828.598,40952.086,275492.94,6.4324527,.42828599,.0091895405,.091644213,82,1,1,1,2006
2474,10105.093,.09619084,3758.7124,.90380919,39075.574,37196.219,234540.84,6.0022368,.39075574,.0089482041,.10105093,83,1,1,1,2006
2183,12276.684,.11566681,4084.989,.88433319,35316.863,33274.367,197344.63,5.5878301,.35316864,.0093317712,.12276684,84,1,1,1,2006
2167,11905.86,.11236934,3509.5051,.88763064,31231.875,29477.123,164070.25,5.2532949,.31231874,.0075375657,.11905861,85,1,1,1,2006
1866,14469.453,.13493253,3740.6494,.86506748,27722.369,25852.045,134593.13,4.8550367,.27722371,.0074951667,.14469454,86,1,1,1,2006
1473,13645.621,.12774071,3063.4419,.87225926,23981.719,22449.998,108741.09,4.5343323,.23981719,.0055848048,.13645622,87,1,1,1,2006
1121,17216.771,.15852156,3315.998,.84147847,20918.277,19260.277,86291.086,4.1251526,.20918277,.0054855007,.17216772,88,1,1,1,2006
951,21240.799,.1920152,3379.9053,.80798483,17602.279,15912.326,67030.813,3.8080757,.1760228,.0049021733,.21240799,89,1,1,1,2006
810,20864.197,.18893236,2687.0667,.81106764,14222.374,12878.841,51118.484,3.5942302,.14222375,.0032781181,.20864196,90,1,1,1,2006
590,25254.236,.22422874,2586.5476,.77577126,11535.308,10242.034,38239.641,3.3150084,.11535308,.0026394876,.25254238,91,1,1,1,2006
507,28402.367,.24870467,2225.5984,.75129533,8948.7598,7835.9604,27997.609,3.1286581,.089487597,.0018134079,.28402367,92,1,1,1,2006
386,26424.871,.23340961,1569.2505,.76659036,6723.1611,5938.5361,20161.648,2.9988346,.06723161,.00098410086,.26424873,93,1,1,1,2006
253,33596.84,.28764808,1482.5125,.71235192,5153.9106,4412.6543,14223.111,2.7596736,.051539108,.00072469405,.33596841,94,1,1,1,2006
171,14035.088,.13114755,481.49487,.86885244,3671.3982,3430.6509,9810.457,2.6721311,.03671398,.00017028577,.14035089,95,1,1,1,2006
1,0,0,0,1,3189.9033,3189.9033,6379.8066,2,.031899035,0,0,97,1,1,1,2006
1,0,0,0,1,3189.9033,3189.9033,3189.9033,1,.031899035,0,0,100,1,1,1,2006
0,,1,3189.9033,0,3189.9033,,,,.031899035,.00098508957,,101,1,1,1,2006
5566,898.31116,.0089739701,891.16388,.99102604,100000,99204.367,1641578.5,16.415785,1,0,.0089206537,65,1,1,2,2006
4975,2894.4724,.0285889,2833.4126,.97141111,99108.836,97493.789,1542374.1,15.562428,.99108833,.00025025412,.028944723,66,1,1,2,2006
4981,2087.9341,.020684991,1991.4563,.97931498,96275.422,95180.117,1444880.4,15.00778,.96275419,.00071410747,.020879341,67,1,1,2,2006
4537,2821.2476,.027843278,2625.1748,.9721567,94283.969,92892.625,1349700.3,14.315268,.94283968,.0014147859,.028212477,68,1,1,2,2006
3998,2801.4006,.027627034,2532.2607,.97237295,91658.797,90392.664,1256807.6,13.711806,.91658795,.0019360267,.028014006,69,1,1,2,2006
3783,3277.8218,.032249674,2874.3018,.96775031,89126.539,87689.391,1166415,13.087179,.89126539,.002785526,.032778218,70,1,1,2,2006
3487,2867.7947,.028272547,2438.5703,.97172743,86252.234,85032.953,1078725.6,12.506639,.86252236,.0028915966,.028677946,71,1,1,2,2006
3196,3723.4043,.036553524,3063.6848,.9634465,83813.664,82281.82,993692.63,11.855974,.83813661,.0041563059,.037234042,72,1,1,2,2006
