population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,neighborhood_deprivation,year
2185,1189.9314,.011883279,1177.3947,.98811674,100000,98946.43,1667034.6,16.670345,1,0,.011789688,65,1,1,2,2006
2032,2263.7795,.022419557,2215.5588,.97758043,98822.602,97559.734,1568088.1,15.867707,.988226,.0002577886,.022637794,66,1,1,2,2006
2157,2178.9521,.021577943,2084.5813,.97842205,96607.039,95460.516,1470528.4,15.221752,.96607041,.00068329176,.021789523,67,1,1,2,2006
1925,2493.5066,.024646224,2329.6218,.97535378,94522.461,93287.758,1375067.9,14.547525,.94522458,.0012061633,.024935067,68,1,1,2,2006
1805,2493.0747,.024623802,2270.1382,.97537619,92192.836,91057.766,1281780.1,13.903251,.92192835,.0016339653,.024930747,69,1,1,2,2006
1718,3201.397,.031509597,2833.428,.96849042,89922.695,88505.984,1190722.4,13.241622,.89922696,.0025675909,.032013971,70,1,1,2,2006
1558,3786.9063,.037165355,3236.7034,.96283466,87089.266,85470.914,1102216.4,12.656168,.87089264,.0036393055,.037869062,71,1,1,2,2006
1531,3527.1064,.034659822,2906.3149,.9653402,83852.563,82399.406,1016745.5,12.125396,.83852565,.0039351615,.035271067,72,1,1,2,2006
1483,3573.8369,.035110965,2842.1011,.96488905,80946.25,79525.203,934346.06,11.542796,.80946249,.0043834564,.035738371,73,1,1,2,2006
1486,4979.8115,.048588313,3794.9487,.95141166,78104.148,76206.672,854820.88,10.944629,.7810415,.0064899572,.049798116,74,1,1,2,2006
1489,4633.9824,.045290448,3365.4971,.95470953,74309.203,72626.453,778614.19,10.478032,.74309206,.0064249444,.046339825,75,1,1,2,2006
1429,5178.4463,.05047749,3581.0601,.9495225,70943.703,69153.172,705987.75,9.9513798,.70943701,.0073818588,.051784463,76,1,1,2,2006
1372,5466.4722,.053210355,3584.3901,.94678962,67362.641,65570.445,636834.56,9.453824,.67362642,.0078804204,.05466472,77,1,1,2,2006
1374,5604.0757,.054513276,3476.7612,.94548672,63778.25,62039.871,571264.13,8.957037,.63778251,.008031874,.056040756,78,1,1,2,2006
1198,6176.9614,.059919026,3613.2065,.940081,60301.488,58494.887,509224.28,8.4446383,.60301489,.0086495802,.061769616,79,1,1,2,2006
