population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,year
4,25000,.22222222,60.241444,.77777779,271.08649,240.96576,451.81079,1.6666666,.0027108649,1.6286371e-06,.25,104,1,1,2006
1,0,0,0,1,210.84505,210.84505,210.84505,1,.0021084505,0,0,106,1,1,2006
1,0,1,210.84505,0,210.84505,,,,.0021084505,4.4361905e-06,,108,1,1,2006
2246,1558.3259,.01555577,1536.834,.9844442,100000,98620.828,1511834.9,15.118349,1,0,.01539517,65,1,2,2006
2067,3144.6541,.031026993,3055.0159,.96897298,98463.164,96721.805,1413214.1,14.352719,.98463166,.00046228978,.031446539,66,1,2,2006
2285,2757.1116,.027233234,2598.2725,.97276676,95408.148,93979.102,1316492.3,13.798531,.95408148,.0011383034,.027571118,67,1,2,2006
1991,3566.0471,.03507264,3255.0874,.96492738,92809.875,91084.68,1222513.1,13.172231,.92809874,.0021721676,.035660472,68,1,2,2006
1885,4031.8303,.039521582,3539.3469,.96047843,89554.789,87785.117,1131428.5,12.633925,.89554787,.0033107719,.040318303,69,1,2,2006
1748,3604.1189,.035403203,3045.2224,.96459681,86015.445,84492.836,1043643.4,12.133209,.86015445,.0036630605,.036041193,70,1,2,2006
1672,4425.8374,.043300178,3592.6255,.95669985,82970.227,81173.914,959150.56,11.560178,.82970226,.0050762515,.044258375,71,1,2,2006
1605,4797.5078,.046851233,3718.9385,.95314878,79377.602,77518.133,877976.63,11.06076,.79377604,.0060877404,.047975078,72,1,2,2006
1448,4696.1328,.045883942,3471.5178,.95411605,75658.664,73922.906,800458.5,10.579865,.75658661,.0063932617,.04696133,73,1,2,2006
1550,5483.8711,.053375196,3853.0032,.94662482,72187.148,70260.648,726535.56,10.06461,.7218715,.0077357916,.05483871,74,1,2,2006
1418,5500.7051,.05353466,3658.2454,.94646531,68334.148,66505.023,656274.94,9.6039085,.6833415,.0079159271,.055007052,75,1,2,2006
1435,5365.8535,.052256532,3379.7383,.94774348,64675.902,62986.031,589769.94,9.1188517,.64675903,.0077214106,.053658534,76,1,2,2006
1291,7048.7993,.068088293,4173.5513,.93191171,61296.164,59209.387,526783.88,8.5940762,.61296165,.0099013187,.070487998,77,1,2,2006
1297,6784.8882,.065622672,3748.5386,.93437731,57122.613,55248.344,467574.5,8.1854534,.57122612,.0091811772,.067848884,78,1,2,2006
1181,8128.7046,.078112289,4169.1709,.9218877,53374.074,51289.488,412326.16,7.725214,.53374076,.010375464,.081287041,79,1,2,2006
1163,7480.6533,.072109409,3548.1365,.9278906,49204.902,47430.836,361036.66,7.3374124,.49204901,.0088680973,.074806541,80,1,2,2006
1074,8566.1084,.08214286,3750.3772,.91785717,45656.766,43781.578,313605.81,6.8687696,.45656765,.0093051968,.085661083,81,1,2,2006
1061,8482.5635,.081374317,3410.1035,.91862571,41906.387,40201.336,269824.25,6.4387383,.41906387,.0083018746,.084825628,82,1,2,2006
937,10672.358,.10131712,3900.3325,.89868289,38496.281,36546.113,229622.91,5.9648075,.38496283,.0092346789,.10672359,83,1,2,2006
837,13739.546,.12856345,4447.7744,.87143654,34595.949,32372.063,193076.8,5.5809078,.34595948,.010064047,.13739546,84,1,2,2006
821,10231.425,.097334877,2934.469,.90266514,30148.176,28680.941,160704.73,5.3304963,.30148175,.0061797132,.10231425,85,1,2,2006
694,13544.669,.1268556,3452.2109,.87314439,27213.707,25487.602,132023.8,4.8513713,.27213708,.0068380875,.13544668,86,1,2,2006
560,13571.429,.12709031,3019.8557,.87290967,23761.496,22251.568,106536.2,4.4835644,.23761496,.0054705921,.13571429,87,1,2,2006
395,15949.367,.14771394,3063.8296,.85228604,20741.641,19209.727,84284.625,4.0635467,.2074164,.0050367774,.15949367,88,1,2,2006
359,18105.85,.1660281,2935.0132,.83397192,17677.811,16210.304,65074.898,3.6811628,.17677811,.0042712549,.1810585,89,1,2,2006
261,24137.932,.21538462,3175.3716,.7846154,14742.797,13155.111,48864.594,3.3144724,.14742798,.0039912192,.24137931,90,1,2,2006
203,23645.32,.21145375,2445.9756,.78854626,11567.426,10344.438,35709.484,3.0870726,.11567426,.0025020796,.23645321,91,1,2,2006
165,37575.758,.31632653,2885.3567,.6836735,9121.4502,7678.772,25365.047,2.780813,.0912145,.0023917996,.37575758,92,1,2,2006
125,23200,.20788531,1296.3923,.79211468,6236.0938,5587.8975,17686.275,2.8361144,.062360939,.00075802719,.23200002,93,1,2,2006
78,29487.18,.25698325,1269.4204,.74301672,4939.7012,4304.9912,12098.377,2.4492123,.04939701,.00059608108,.29487181,94,1,2,2006
52,23076.924,.20689656,759.36847,.79310346,3670.2808,3290.5964,7793.3857,2.1233759,.036702808,.00026848013,.23076925,95,1,2,2006
34,55882.352,.43678162,1271.433,.56321836,2910.9124,2275.1958,4502.7896,1.5468653,.029109124,.00035932963,.55882353,96,1,2,2006
20,75000,.54545456,894.26147,.45454544,1639.4794,1192.3486,2227.5938,1.3587202,.016394794,.00014420865,.75,97,1,2,2006
16,93750,.63829786,475.67099,.36170214,745.2179,507.38239,1035.2451,1.3891845,.0074521787,.000035183686,.9375,98,1,2,2006
